composerName,workTitle,quantile,dateCount
"Bach,  Johann  Sebastian","CHORALE, ""KYRIE, GOTT VATER IN EWIGKEIT"", BWV 671 (ARR. Devereaux)",3,2
"Bach,  Johann  Sebastian","CHORALE, ""KYRIE, GOTT VATER IN EWIGKEIT"", BWV 671 (ARR. Kay)",3,1
"Bach,  Johann  Sebastian","CHORALE, ""MEIN JESU! WAS FUR SEELENWEH"", BWV 487 (ARR. Stokowski)",3,2
"Bach,  Johann  Sebastian","CHORALE, ""MEINE SEELE ERHEBET DEN HERRN"", BWV 648 (ARR. Respighi)",3,2
"Bach,  Johann  Sebastian","CHORALE, ""O MENSCH, BEWEIN' DEIN' SUNDE GROSS"", BWV 622 (ARR. Reger)",2,6
"Bach,  Johann  Sebastian","CHORALE, ""VOM HIMMEL HOCH DA KOMM ICH HER"", BWV 606 (ARR. Stravinsky)",3,3
"Bach,  Johann  Sebastian","CHORALE, ""VOM HIMMEL HOCH, DA KOMM'ICH HER,"" BWV 606",3,1
"Bach,  Johann  Sebastian","CHORALE, ""WENN WIR IN HÖCHSTEN NÖTEN SEIN"", BWV 668 (ARR. Barbirolli)",3,2
"Bach,  Johann  Sebastian","CHORALE, ""WIR GLAUBEN ALL' AN EINEN GOTT"", BWV 437/680 (ARR. Stokowski)",3,3
"Bach,  Johann  Sebastian","CHRISTMAS ORATORIO, CANTATAS 1 - 3, BWV 248",2,28
"Bach,  Johann  Sebastian",CHRISTMAS ORATORIO: FINALE,3,4
"Bach,  Johann  Sebastian","CON., CLAVIERS (THREE), NO. 2, C MAJOR, BWV 1064",3,4
"Bach,  Johann  Sebastian","CON., HARPSICHORD, NO. 1, D MINOR, BWV 1052",2,18
"Bach,  Johann  Sebastian","CON., HARPSICHORD, NO. 1, D MINOR, BWV 1052 (ARR. FOR VIOLIN) (ARR. Fischer)",2,8
"Bach,  Johann  Sebastian","CON., HARPSICHORD, NO. 3, D MAJOR,  BWV 1054",3,4
"Bach,  Johann  Sebastian","CON., HARPSICHORD, NO. 4, A MAJOR, BWV 1055",3,3
"Bach,  Johann  Sebastian","CON., HARPSICHORD, NO. 5, F MINOR, BWV 1056",2,10
"Bach,  Johann  Sebastian","CON., HARPSICHORD, NO. 7, G MINOR, BWV 1058",2,5
"Bach,  Johann  Sebastian","CON., HARPSICHORDS, (FOUR), BWV 1065, A MINOR",3,2
"Bach,  Johann  Sebastian","CON., HARPSICHORDS, (TWO), NO. 1, C MINOR, BWV 1060",3,1
"Bach,  Johann  Sebastian","CON., HARPSICHORDS, (TWO), NO. 2, C MAJOR, BWV 1061",3,3
"Bach,  Johann  Sebastian","CON., OBOE AND VIOLIN,  [C OR D MINOR], BWV 1060",2,22
"Bach,  Johann  Sebastian","CON., OBOE D'AMORE, A MAJOR, BWV 1055 (ARR. Fischer)",2,7
"Bach,  Johann  Sebastian","CON., PIANOS (THREE), D MINOR, BWV 1063",2,5
"Bach,  Johann  Sebastian","CON., VIOLIN, A MINOR, BWV 1041",2,30
"Bach,  Johann  Sebastian","CON., VIOLIN, E MAJOR, BWV 1042",1,40
"Bach,  Johann  Sebastian","CON., VIOLIN, G MINOR,  BWV 1056",2,7
"Bach,  Johann  Sebastian","CON., VIOLINS, (THREE), D MAJOR, BWV 1064",3,1
"Bach,  Johann  Sebastian","CON., VIOLINS, (TWO), BWV 1043, D MINOR",1,55
"Bach,  Johann  Sebastian",DIVERTIMENTO (ARR. Seidl),3,2
"Bach,  Johann  Sebastian","ENGLISH SUITE NO. 2 IN A MINOR, BWV 807 (ARR. PERC.) (ARR. Unspecified)",3,1
"Bach,  Johann  Sebastian","ENGLISH SUITE NO. 2, A MINOR, BWV 807",3,1
"Bach,  Johann  Sebastian","ENGLISH SUITE NO. 6 IN D MINOR, BWV 811",3,1
"Bach,  Johann  Sebastian","FANTASIA AND FUGUE IN C MINOR, BWV 906 (ARR. Elgar)",3,3
"Bach,  Johann  Sebastian","FANTASIA AND FUGUE, CHROMATIC, D MINOR, BWV 903 (ARR. Bristow)",3,1
"Bach,  Johann  Sebastian","FANTASIA AND FUGUE, G MINOR, BWV 542 (ARR. Mitropoulos)",2,20
"Bach,  Johann  Sebastian","FUGUE, A MINOR  (ARR. Hellmesberger)",3,3
"Bach,  Johann  Sebastian","FUGUE, A MINOR (UNSPECIFIED) (ARR. Hellmesberger)",3,2
"Bach,  Johann  Sebastian","FUGUE, C MINOR, BWV 847 (ARR. Stokowski)",3,1
"Bach,  Johann  Sebastian","FUGUE, G MINOR, BWV 578 (ARR. Cailliet)",3,4
"Bach,  Johann  Sebastian","FUGUE, G MINOR, BWV 578 (ARR. Stokowski)",2,8
"Bach,  Johann  Sebastian","FUGUE, G MINOR, BWV 578 (MOOG) (ARR. Sear)",3,1
"Bach,  Johann  Sebastian","FUGUE, G MINOR, BWV 578 (ORGAN)",3,1
"Bach,  Johann  Sebastian",GIGUE IN G (ARR. Goossens),3,1
"Bach,  Johann  Sebastian","INVENTION, B FLAT MAJOR, BWV 785 (ARR. Enesco)",3,1
"Bach,  Johann  Sebastian",LODATE DIO (ARR. Frisina),3,3
"Bach,  Johann  Sebastian","MAGNIFICAT, BWV 243",2,24
"Bach,  Johann  Sebastian","MASS IN B MINOR, BWV 232",2,25
"Bach,  Johann  Sebastian","MOTET, ""SINGET DEM HERRN EIN NEUES LIED"", BWV 225",3,4
"Bach,  Johann  Sebastian","MUSICAL OFFERING, BWV 1079: FUGA RICERCATA (ARR. Ferguson)",3,4
"Bach,  Johann  Sebastian","MUSICAL OFFERING, BWV 1079: FUGUE IN C MINOR (ARR. Wheaton)",3,1
"Bach,  Johann  Sebastian","MUSICAL OFFERING, BWV 1079: RICERCARE NO. 2  (ARR. Webern)",2,14
"Bach,  Johann  Sebastian","ORGAN TOCCATA AND FUGUE, D MINOR, BWV 565 (ARR. Wood)",3,4
"Bach,  Johann  Sebastian","PARTITA NO. 1, B MINOR, BWV 1002",3,2
"Bach,  Johann  Sebastian","PARTITA NO. 1, B MINOR, BWV 1002: SARABANDE  (ARR. Stokowski)",3,1
"Bach,  Johann  Sebastian","PARTITA NO. 2, D MINOR, BWV 1004",2,29
"Bach,  Johann  Sebastian","PARTITA NO. 2, D MINOR, BWV 1004: CHACONNE  (ARR. Raff)",3,2
"Bach,  Johann  Sebastian","PARTITA NO. 3, E MAJOR, BWV 1006",2,20
"Bach,  Johann  Sebastian","PARTITA NO. 3, E MAJOR, BWV 1006:  GAVOTTE EN RONDEAU (ARR. Friedman)",3,1
"Bach,  Johann  Sebastian","PARTITA NO. 3, E MAJOR, BWV 1006:  GAVOTTE EN RONDEAU (ARR. Rachmaninoff)",3,1
"Bach,  Johann  Sebastian","PARTITA NO. 3, E MAJOR, BWV 1006: PRELUDIO (ARR. Stokowski)",3,4
"Bach,  Johann  Sebastian","PARTITA NO. 3, E MAJOR, PRELUDE, (ORCHESTRA) BWV 1006 (ARR. Stoessel)",3,1
"Bach,  Johann  Sebastian","PARTITA, NO. 2, D MINOR, BWV 1004: CHACONNE (ARR. Burle Marx)",3,1
"Bach,  Johann  Sebastian","PASSACAGLIA &  FUGUE, C MINOR, BWV 582 (ARR. Stokowski)",2,6
"Bach,  Johann  Sebastian","PASSACAGLIA & FUGUE, C MINOR, BWV 582 (ARR. Respighi)",2,10
"Bach,  Johann  Sebastian","PASSACAGLIA, C MINOR, BWV 582 (ARR. Esser)",3,3
"Bach,  Johann  Sebastian",PASTORALE FOR ORGAN (ARR. FOR ORCHESTRA) (ARR. Damrosch),3,2
"Bach,  Johann  Sebastian","PRELUDE AND FUGUE, A MINOR (UNSPECIFIED)",3,1
"Bach,  Johann  Sebastian","PRELUDE AND FUGUE, B MINOR, BWV 869 (ARR. Mitropoulos)",3,2
"Bach,  Johann  Sebastian","PRELUDE AND FUGUE, D MAJOR, BWV 532 (ARR. Respighi)",2,6
"Bach,  Johann  Sebastian","PRELUDE,  ""WIR GLAUBEN ALL' AN EINEN GOTT"", BWV ANH. 70 (ARR. Boessenroth)",2,5
"Bach,  Johann  Sebastian","PRELUDE, ADAGIO, GAVOTTE AND RONDO (UNSPECIFIED) (ARR. Bachrich)",3,1
"Bach,  Johann  Sebastian","PRELUDE, CHORALE, AND FUGUE (ARR. Abert)",2,30
"Bach,  Johann  Sebastian","PRELUDE, E FLAT MINOR, BWV 853 (ARR. Stokowski)",3,3
"Bach,  Johann  Sebastian","SONATA, FLUTE,  NO. 2, E FLAT MAJOR, BWV 1031:  SICILIANO (ARR. Stokowski)",3,2
"Bach,  Johann  Sebastian","SONATA, ORGAN, NO. 1, E FLAT MAJOR, BWV 525 (ARR. Wetzler)",3,2
"Bach,  Johann  Sebastian","SONATA, VIOLIN, NO. 2, A MINOR, BWV 1003: ANDANTE (ARR. ORCH.) (ARR. Stokowski)",3,4
"Bach,  Johann  Sebastian","SONATA, VIOLIN, NO. 3, E MAJOR, BWV 1016 (FOR ORCH) (ARR. Thomas)",3,2
